"filename", "language", "Less", "JSON", "JavaScript", "Markdown", "XML", "TypeScript", "TypeScript React", "JSON with Comments", "HTML", "Ignore", "comment", "blank", "total"
"d:\qsa2020\04_pc\myapp\src\pages\Bas\customer\custRecord.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 2, 101
"d:\qsa2020\04_pc\myapp\src\pages\Bas\customer\customer.json", "JSON", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"d:\qsa2020\04_pc\myapp\src\pages\Bas\customer\customerSelect.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 3, 103
"d:\qsa2020\04_pc\myapp\src\pages\Bas\customer\detail.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 449, 0, 0, 0, 0, 3, 452
"d:\qsa2020\04_pc\myapp\src\pages\Bas\customer\form.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 0, 4, 175
"d:\qsa2020\04_pc\myapp\src\pages\Bas\customer\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 218, 0, 0, 0, 0, 4, 222
"d:\qsa2020\04_pc\myapp\src\pages\Bas\customer\updForm.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 3, 167
"d:\qsa2020\04_pc\myapp\src\pages\Bas\employ\form.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 4, 78
"d:\qsa2020\04_pc\myapp\src\pages\Bas\employ\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 248, 0, 0, 0, 0, 5, 253
"d:\qsa2020\04_pc\myapp\src\pages\Bas\productType\form.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 3, 125
"d:\qsa2020\04_pc\myapp\src\pages\Bas\productType\index.less", "Less", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\qsa2020\04_pc\myapp\src\pages\Bas\productType\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 2, 115
"d:\qsa2020\04_pc\myapp\src\pages\Bas\product\detail.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 1081, 0, 0, 0, 31, 14, 1126
"d:\qsa2020\04_pc\myapp\src\pages\Bas\product\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 3, 149
"d:\qsa2020\04_pc\myapp\src\pages\Bas\product\json.jsonc", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 550, 0, 0, 9, 28, 587
"d:\qsa2020\04_pc\myapp\src\pages\Bas\product\prodAdd.jsonc", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 361, 0, 0, 10, 2, 373
"d:\qsa2020\04_pc\myapp\src\pages\Bas\store\form.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 3, 90
"d:\qsa2020\04_pc\myapp\src\pages\Bas\store\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 3, 125
